episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
273,53.205710779788205,294,0.06482424602216603,0.5884353741496599,0.0,0.0
274,65.3390825917013,296,0.04992515037490709,0.7195945945945946,0.0,0.0
275,53.82077948670485,295,0.060597266585139906,0.5966101694915255,0.0,0.0
276,48.45427721919259,292,0.06929417919010332,0.5445205479452054,0.0,0.0
277,44.0696759907878,294,0.07106324977108411,0.48299319727891155,0.0,0.0
278,46.23022937672795,296,0.07190840555405295,0.5101351351351351,0.0,0.0
279,31.222612563945404,300,0.08382019251585007,0.3333333333333333,0.0,0.0
280,59.381553463033924,288,0.0567310994439241,0.6701388888888888,0.0,0.0
281,43.45339543966111,295,0.09150948504270133,0.47796610169491527,0.0,0.0
282,50.1118729981082,295,0.05914942404981387,0.5525423728813559,0.0,0.0
283,40.50898048072122,297,0.07163366978919064,0.43434343434343436,0.0,0.0
284,36.79493629645731,293,0.08664650447132645,0.41638225255972694,0.0,0.0
285,42.54806881296099,295,0.06701727027105073,0.46779661016949153,0.0,0.0
286,41.243740526842885,293,0.07628301515819269,0.46075085324232085,0.0,0.0
287,45.10450121098984,291,0.07211338034814985,0.5017182130584192,0.0,0.0
288,39.04861559218352,290,0.07116517452844258,0.43103448275862066,0.0,0.0
289,65.46958197484491,296,0.05396880126382048,0.7195945945945946,0.0,0.0
290,36.79220455818722,296,0.07682673731265036,0.40202702702702703,0.0,0.0
291,49.03398219402516,297,0.05658989866273572,0.5353535353535354,0.0,0.0
292,45.151770972446684,294,0.07206626157878207,0.4965986394557823,0.0,0.0
293,57.55546451290138,300,0.05995340839028358,0.6266666666666667,0.0,0.0
294,47.36738657721435,297,0.06285525763074959,0.5185185185185185,0.0,0.0
295,40.87018706640811,304,0.08078389901569799,0.4407894736842105,0.0,0.0
296,33.22100745114403,292,0.08387058274182554,0.3698630136986301,0.0,0.0
297,48.719308490341064,292,0.06907209297259377,0.547945205479452,0.0,0.0
298,42.582914182014065,300,0.08292845845222473,0.46,0.0,0.0
299,38.802371281858086,287,0.07716306506652865,0.43205574912891986,0.0,0.0
300,60.7500243090617,297,0.04995687795106811,0.6666666666666666,0.0,0.0
301,54.898919717554236,291,0.06525215939250599,0.6116838487972509,0.0,0.0
302,45.870701455598464,290,0.06783836160240503,0.5137931034482759,0.0,0.0
303,32.23367032807437,296,0.07790655995140204,0.3547297297297297,0.0,0.0
304,45.24004820427217,292,0.062067280255564274,0.5034246575342466,0.0,0.0
305,43.3131867570919,290,0.07962822171634641,0.4862068965517241,0.0,0.0
306,40.92330239713192,290,0.0817458107810596,0.46206896551724136,0.0,0.0
307,47.08694901021954,293,0.06921899005923254,0.515358361774744,0.0,0.0
308,69.61460632181843,294,0.04848703589974618,0.7755102040816326,0.0,0.0
309,49.44752193335444,294,0.06682909072256413,0.5510204081632653,0.0,0.0
310,46.08186559646856,294,0.0747639786223976,0.4965986394557823,0.0,0.0
311,51.941067508538254,298,0.06283115128042714,0.5704697986577181,0.0,0.0
