episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
224,-1.5530321598052979,2,0.2765160799026489,0.0,0.0,0.0,0.0
225,-2.149826467037201,2,0.5749132037162781,0.0,0.0,0.0,0.0
226,-101.18744358420372,261,0.38251894164359435,0.0,0.0,0.0,0.0
227,-2.01206773519516,2,0.5060338377952576,0.0,0.0,0.0,0.0
228,-1.943826675415039,2,0.47191333770751953,0.0,0.0,0.0,0.0
229,-1.6500192284584045,2,0.32500964403152466,0.0,0.0,0.0,0.0
230,-1.605907678604126,2,0.302953839302063,0.0,0.0,0.0,0.0
231,-66.35685385018587,192,0.3537856989229719,1.0,1.0,0.0,0.0
232,-60.17530781030655,85,0.6950036224196939,0.0,0.0,0.0,0.0
233,-1.790449857711792,2,0.395224928855896,0.0,0.0,0.0,0.0
234,-1.7719447910785675,2,0.38597241044044495,0.0,0.0,0.0,0.0
235,-2.0833482146263123,2,0.5416740775108337,0.0,0.0,0.0,0.0
236,-122.79043857753277,243,0.5117713535518803,1.0,1.0,0.0,0.0
237,-34.878970712423325,56,0.6035530497985226,0.0,0.0,0.0,0.0
238,1.9277697801589966,1,0.07223021984100342,1.0,1.0,0.0,0.0
239,-1.5821409821510315,2,0.29107052087783813,0.0,0.0,0.0,0.0
240,1.9243593215942383,1,0.07564067840576172,1.0,1.0,0.0,0.0
241,-158.47196850180626,391,0.4007211479994342,0.0,0.0,0.0,0.0
242,-1.7597580254077911,2,0.37987902760505676,0.0,0.0,0.0,0.0
243,-1.9064750671386719,2,0.4482375383377075,0.0,0.0,0.0,0.0
244,-1.644650936126709,2,0.3223254680633545,0.0,0.0,0.0,0.0
245,-1.9813284873962402,2,0.4906642436981201,0.0,0.0,0.0,0.0
246,-188.13092038035393,293,0.6372045080206094,0.0,0.0,0.0,0.0
247,-1.5028604865074158,2,0.2514302134513855,0.0,0.0,0.0,0.0
248,-1.3452970385551453,2,0.16764849424362183,0.0,0.0,0.0,0.0
249,-2.1676852703094482,2,0.5838426351547241,0.0,0.0,0.0,0.0
250,1.9154422283172607,1,0.08455774188041687,1.0,1.0,0.0,0.0
251,-205.81323777139187,412,0.4950806750255881,0.0,0.0,0.0,0.0
252,-1.7775664627552032,2,0.3887832462787628,0.0,0.0,0.0,0.0
253,-2.0679173469543457,2,0.5339586734771729,0.0,0.0,0.0,0.0
254,1.9341397285461426,1,0.06586030125617981,1.0,1.0,0.0,0.0
255,-1.5185482501983643,2,0.25927412509918213,0.0,0.0,0.0,0.0
256,-57.546554423868656,226,0.261533425972525,1.0,1.0,0.0,0.0
257,-99.29943937063217,157,0.6249008884855137,0.0,0.0,0.0,0.0
258,-1.353007048368454,2,0.1765035092830658,0.0,0.0,0.0,0.0
259,1.9068224430084229,1,0.09317749738693237,1.0,1.0,0.0,0.0
260,-1.9733009040355682,2,0.4866504371166229,0.0,0.0,0.0,0.0
261,-184.2571995705366,442,0.4120524891428818,0.0,0.0,0.0,0.0
262,-1.6796722412109375,2,0.33983612060546875,0.0,0.0,0.0,0.0
263,-2.1319494247436523,2,0.5659747123718262,0.0,0.0,0.0,0.0
264,-1.584213674068451,2,0.2921068072319031,0.0,0.0,0.0,0.0
265,-2.105793058872223,2,0.5528965592384338,0.0,0.0,0.0,0.0
266,-116.85635447502136,206,0.560613372950878,0.0,0.0,0.0,0.0
267,1.907238483428955,1,0.09276154637336731,1.0,1.0,0.0,0.0
268,-1.3444581627845764,2,0.1722291111946106,0.0,0.0,0.0,0.0
269,-1.7226531207561493,2,0.36132654547691345,0.0,0.0,0.0,0.0
270,-1.7822158336639404,2,0.3911079168319702,0.0,0.0,0.0,0.0
271,-3.4999153316020966,42,0.12904560211158933,1.0,1.0,0.0,0.0
